uid	habilidades
07d3795f-b0f3-4c9f-816f-7726f7bd36dd	EVIEWS
07d3795f-b0f3-4c9f-816f-7726f7bd36dd	Microsoft Office
07d3795f-b0f3-4c9f-816f-7726f7bd36dd	STATA
0d8d3840-735f-41bc-a708-6ff84a22b2e3	Microsoft Office
0d8d3840-735f-41bc-a708-6ff84a22b2e3	Python
2b111e54-4583-479b-af56-bb05f56c940c	Microsoft Office
2b111e54-4583-479b-af56-bb05f56c940c	R
343a069d-6ebe-4153-ad70-62068c12df95	C
343a069d-6ebe-4153-ad70-62068c12df95	Microsoft Office
343a069d-6ebe-4153-ad70-62068c12df95	Python
343a069d-6ebe-4153-ad70-62068c12df95	SQL
51078883-ef36-4e2c-93c4-139157d2f02a	Microsoft Office
6d1ba47c-04c7-4e19-b161-74e73abba92a	Microsoft Office
6d1ba47c-04c7-4e19-b161-74e73abba92a	R
8371dd54-4f3d-4f8d-8577-727414f2944e	Microsoft Office
a2d5f318-374a-43dd-ae2e-6f6ef4cea7d4	Microsoft Office
acdde6c8-00ad-4a5a-8254-89de76c9ef9a	Microsoft Office
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	Neo4j
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	Python
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	R
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	SQL
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	STATA
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	Mathlab
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	Microsoft Office
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	R
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	STATA

