uid	idioma	IDI_NIVEL_SP	IDI_NIVEL_WR	IDI_NIVEL_TR	IDI_NIVEL_TE
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	Ingles			Ingles	
07d3795f-b0f3-4c9f-816f-7726f7bd36dd	Ingles			Ingles	
2b111e54-4583-479b-af56-bb05f56c940c	Ingles			Ingles	
8371dd54-4f3d-4f8d-8577-727414f2944e	Ingles			Ingles	
343a069d-6ebe-4153-ad70-62068c12df95	Espanol			Espanol	
acdde6c8-00ad-4a5a-8254-89de76c9ef9a	Ingles			Ingles	
a2d5f318-374a-43dd-ae2e-6f6ef4cea7d4	Ingles			Ingles	
51078883-ef36-4e2c-93c4-139157d2f02a	Ingles			Ingles	
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	Ingles			Ingles	
6d1ba47c-04c7-4e19-b161-74e73abba92a	Ingles			Ingles	
0d8d3840-735f-41bc-a708-6ff84a22b2e3	Espanol				Espanol
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	Aleman	Aleman			
07d3795f-b0f3-4c9f-816f-7726f7bd36dd	Espanol				Espanol
2b111e54-4583-479b-af56-bb05f56c940c	Espanol				Espanol
8371dd54-4f3d-4f8d-8577-727414f2944e	Espanol				Espanol
acdde6c8-00ad-4a5a-8254-89de76c9ef9a	Espanol				Espanol
a2d5f318-374a-43dd-ae2e-6f6ef4cea7d4	Espanol				Espanol
51078883-ef36-4e2c-93c4-139157d2f02a	Espanol				Espanol
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	Espanol				Espanol
6d1ba47c-04c7-4e19-b161-74e73abba92a	Espanol				Espanol
0d8d3840-735f-41bc-a708-6ff84a22b2e3	Ingles			Ingles	
bdded48f-1b1c-45a5-9c5f-011dca8f03c8	Espanol				Espanol
8371dd54-4f3d-4f8d-8577-727414f2944e	Frances			Frances	
c6994708-9aeb-43e2-a9e7-e7be82f25a6e	Frances			Frances	
0d8d3840-735f-41bc-a708-6ff84a22b2e3	Aleman		Aleman		
0d8d3840-735f-41bc-a708-6ff84a22b2e3	Frances			Frances	

